"Título de trazado: Estacion1"
"N.º","Fecha Tiempo, GMT-05:00","Lluvia, in (LGR S/N: 21471862, SEN S/N: 21560958)"
1,23/03/08 08:10:42,0.000
2,23/03/08 08:15:42,0.000
3,23/03/08 08:20:42,0.000
4,23/03/08 08:25:42,0.000
5,23/03/08 08:30:42,0.000
6,23/03/08 08:35:42,0.000
7,23/03/08 08:40:42,0.000
8,23/03/08 08:45:42,0.094
9,23/03/08 08:50:42,0.000
10,23/03/08 08:55:42,0.000
11,23/03/08 09:00:42,0.000
12,23/03/08 09:05:42,0.000
13,23/03/08 09:10:42,0.000
14,23/03/08 09:15:42,0.000
15,23/03/08 09:20:42,0.000
16,23/03/08 09:25:42,0.000
17,23/03/08 09:30:42,0.000
18,23/03/08 09:35:42,0.000
19,23/03/08 09:40:42,0.000
20,23/03/08 09:45:42,0.000
21,23/03/08 09:50:42,0.000
22,23/03/08 09:55:42,0.000
23,23/03/08 10:00:42,0.000
24,23/03/08 10:05:42,0.000
25,23/03/08 10:10:42,0.000
26,23/03/08 10:15:42,0.000
27,23/03/08 10:20:42,0.000
28,23/03/08 10:25:42,0.000
29,23/03/08 10:30:42,0.000
30,23/03/08 10:35:42,0.000
31,23/03/08 10:40:42,0.000
32,23/03/08 10:45:42,0.000
33,23/03/08 10:50:42,0.000
34,23/03/08 10:55:42,0.000
35,23/03/08 11:00:42,0.000
36,23/03/08 11:05:42,0.000
37,23/03/08 11:10:42,0.000
38,23/03/08 11:15:42,0.000
39,23/03/08 11:20:42,0.000
40,23/03/08 11:25:42,0.000
41,23/03/08 11:30:42,0.000
42,23/03/08 11:35:42,0.000
43,23/03/08 11:40:42,0.000
44,23/03/08 11:45:42,0.000
45,23/03/08 11:50:42,0.000
46,23/03/08 11:55:42,0.000
47,23/03/08 12:00:42,0.000
48,23/03/08 12:05:42,0.000
49,23/03/08 12:10:42,0.000
50,23/03/08 12:15:42,0.000
51,23/03/08 12:20:42,0.000
52,23/03/08 12:25:42,0.000
53,23/03/08 12:30:42,0.000
54,23/03/08 12:35:42,0.000
55,23/03/08 12:40:42,0.000
56,23/03/08 12:45:42,0.000
57,23/03/08 12:50:42,0.000
58,23/03/08 12:55:42,0.000
59,23/03/08 13:00:42,0.000
60,23/03/08 13:05:42,0.000
61,23/03/08 13:10:42,0.000
62,23/03/08 13:15:42,0.000
63,23/03/08 13:20:42,0.000
64,23/03/08 13:25:42,0.000
65,23/03/08 13:30:42,0.000
66,23/03/08 13:35:42,0.000
67,23/03/08 13:40:42,0.000
68,23/03/08 13:45:42,0.000
69,23/03/08 13:50:42,0.000
70,23/03/08 13:55:42,0.000
71,23/03/08 14:00:42,0.000
72,23/03/08 14:05:42,0.000
73,23/03/08 14:10:42,0.000
74,23/03/08 14:15:42,0.000
75,23/03/08 14:20:42,0.000
76,23/03/08 14:25:42,0.000
77,23/03/08 14:30:42,0.000
78,23/03/08 14:35:42,0.000
79,23/03/08 14:40:42,0.000
80,23/03/08 14:45:42,0.000
81,23/03/08 14:50:42,0.000
82,23/03/08 14:55:42,0.000
83,23/03/08 15:00:42,0.000
84,23/03/08 15:05:42,0.000
85,23/03/08 15:10:42,0.000
86,23/03/08 15:15:42,0.000
87,23/03/08 15:20:42,0.000
88,23/03/08 15:25:42,0.000
89,23/03/08 15:30:42,0.000
90,23/03/08 15:35:42,0.000
91,23/03/08 15:40:42,0.000
92,23/03/08 15:45:42,0.000
93,23/03/08 15:50:42,0.000
94,23/03/08 15:55:42,0.000
95,23/03/08 16:00:42,0.000
96,23/03/08 16:05:42,0.000
97,23/03/08 16:10:42,0.000
98,23/03/08 16:15:42,0.000
99,23/03/08 16:20:42,0.000
100,23/03/08 16:25:42,0.000
101,23/03/08 16:30:42,0.000
102,23/03/08 16:35:42,0.000
103,23/03/08 16:40:42,0.000
104,23/03/08 16:45:42,0.000
105,23/03/08 16:50:42,0.000
106,23/03/08 16:55:42,0.000
107,23/03/08 17:00:42,0.000
108,23/03/08 17:05:42,0.000
109,23/03/08 17:10:42,0.000
110,23/03/08 17:15:42,0.000
111,23/03/08 17:20:42,0.000
112,23/03/08 17:25:42,0.000
113,23/03/08 17:30:42,0.000
114,23/03/08 17:35:42,0.000
115,23/03/08 17:40:42,0.000
116,23/03/08 17:45:42,0.000
117,23/03/08 17:50:42,0.000
118,23/03/08 17:55:42,0.000
119,23/03/08 18:00:42,0.000
120,23/03/08 18:05:42,0.000
121,23/03/08 18:10:42,0.000
122,23/03/08 18:15:42,0.000
123,23/03/08 18:20:42,0.000
124,23/03/08 18:25:42,0.000
125,23/03/08 18:30:42,0.000
126,23/03/08 18:35:42,0.000
127,23/03/08 18:40:42,0.000
128,23/03/08 18:45:42,0.000
129,23/03/08 18:50:42,0.000
130,23/03/08 18:55:42,0.000
131,23/03/08 19:00:42,0.000
132,23/03/08 19:05:42,0.000
133,23/03/08 19:10:42,0.000
134,23/03/08 19:15:42,0.000
135,23/03/08 19:20:42,0.000
136,23/03/08 19:25:42,0.000
137,23/03/08 19:30:42,0.000
138,23/03/08 19:35:42,0.000
139,23/03/08 19:40:42,0.000
140,23/03/08 19:45:42,0.000
141,23/03/08 19:50:42,0.000
142,23/03/08 19:55:42,0.000
143,23/03/08 20:00:42,0.000
144,23/03/08 20:05:42,0.000
145,23/03/08 20:10:42,0.000
146,23/03/08 20:15:42,0.000
147,23/03/08 20:20:42,0.000
148,23/03/08 20:25:42,0.000
149,23/03/08 20:30:42,0.000
150,23/03/08 20:35:42,0.000
151,23/03/08 20:40:42,0.000
152,23/03/08 20:45:42,0.000
153,23/03/08 20:50:42,0.000
154,23/03/08 20:55:42,0.000
155,23/03/08 21:00:42,0.000
156,23/03/08 21:05:42,0.000
157,23/03/08 21:10:42,0.000
158,23/03/08 21:15:42,0.000
159,23/03/08 21:20:42,0.000
160,23/03/08 21:25:42,0.000
161,23/03/08 21:30:42,0.000
162,23/03/08 21:35:42,0.000
163,23/03/08 21:40:42,0.000
164,23/03/08 21:45:42,0.000
165,23/03/08 21:50:42,0.000
166,23/03/08 21:55:42,0.000
167,23/03/08 22:00:42,0.000
168,23/03/08 22:05:42,0.000
169,23/03/08 22:10:42,0.000
170,23/03/08 22:15:42,0.000
171,23/03/08 22:20:42,0.000
172,23/03/08 22:25:42,0.000
173,23/03/08 22:30:42,0.000
174,23/03/08 22:35:42,0.000
175,23/03/08 22:40:42,0.000
176,23/03/08 22:45:42,0.000
177,23/03/08 22:50:42,0.000
178,23/03/08 22:55:42,0.000
179,23/03/08 23:00:42,0.000
180,23/03/08 23:05:42,0.000
181,23/03/08 23:10:42,0.000
182,23/03/08 23:15:42,0.000
183,23/03/08 23:20:42,0.000
184,23/03/08 23:25:42,0.000
185,23/03/08 23:30:42,0.000
186,23/03/08 23:35:42,0.000
187,23/03/08 23:40:42,0.000
188,23/03/08 23:45:42,0.000
189,23/03/08 23:50:42,0.000
190,23/03/08 23:55:42,0.000
191,23/03/09 00:00:42,0.000
192,23/03/09 00:05:42,0.000
193,23/03/09 00:10:42,0.000
194,23/03/09 00:15:42,0.000
195,23/03/09 00:20:42,0.000
196,23/03/09 00:25:42,0.000
197,23/03/09 00:30:42,0.000
198,23/03/09 00:35:42,0.000
199,23/03/09 00:40:42,0.000
200,23/03/09 00:45:42,0.000
201,23/03/09 00:50:42,0.000
202,23/03/09 00:55:42,0.000
203,23/03/09 01:00:42,0.000
204,23/03/09 01:05:42,0.000
205,23/03/09 01:10:42,0.000
206,23/03/09 01:15:42,0.000
207,23/03/09 01:20:42,0.000
208,23/03/09 01:25:42,0.000
209,23/03/09 01:30:42,0.000
210,23/03/09 01:35:42,0.000
211,23/03/09 01:40:42,0.000
212,23/03/09 01:45:42,0.000
213,23/03/09 01:50:42,0.000
214,23/03/09 01:55:42,0.000
215,23/03/09 02:00:42,0.000
216,23/03/09 02:05:42,0.000
217,23/03/09 02:10:42,0.000
218,23/03/09 02:15:42,0.000
219,23/03/09 02:20:42,0.000
220,23/03/09 02:25:42,0.000
221,23/03/09 02:30:42,0.000
222,23/03/09 02:35:42,0.000
223,23/03/09 02:40:42,0.000
224,23/03/09 02:45:42,0.000
225,23/03/09 02:50:42,0.000
226,23/03/09 02:55:42,0.000
227,23/03/09 03:00:42,0.000
228,23/03/09 03:05:42,0.000
229,23/03/09 03:10:42,0.000
230,23/03/09 03:15:42,0.000
231,23/03/09 03:20:42,0.000
232,23/03/09 03:25:42,0.000
233,23/03/09 03:30:42,0.000
234,23/03/09 03:35:42,0.000
235,23/03/09 03:40:42,0.000
236,23/03/09 03:45:42,0.000
237,23/03/09 03:50:42,0.000
238,23/03/09 03:55:42,0.000
239,23/03/09 04:00:42,0.000
240,23/03/09 04:05:42,0.000
241,23/03/09 04:10:42,0.000
242,23/03/09 04:15:42,0.000
243,23/03/09 04:20:42,0.000
244,23/03/09 04:25:42,0.000
245,23/03/09 04:30:42,0.000
246,23/03/09 04:35:42,0.000
247,23/03/09 04:40:42,0.000
248,23/03/09 04:45:42,0.000
249,23/03/09 04:50:42,0.000
250,23/03/09 04:55:42,0.000
251,23/03/09 05:00:42,0.000
252,23/03/09 05:05:42,0.000
253,23/03/09 05:10:42,0.000
254,23/03/09 05:15:42,0.000
255,23/03/09 05:20:42,0.000
256,23/03/09 05:25:42,0.000
257,23/03/09 05:30:42,0.000
258,23/03/09 05:35:42,0.000
259,23/03/09 05:40:42,0.000
260,23/03/09 05:45:42,0.000
261,23/03/09 05:50:42,0.000
262,23/03/09 05:55:42,0.000
263,23/03/09 06:00:42,0.000
264,23/03/09 06:05:42,0.000
265,23/03/09 06:10:42,0.000
266,23/03/09 06:15:42,0.000
267,23/03/09 06:20:42,0.000
268,23/03/09 06:25:42,0.000
269,23/03/09 06:30:42,0.000
270,23/03/09 06:35:42,0.000
271,23/03/09 06:40:42,0.000
272,23/03/09 06:45:42,0.000
273,23/03/09 06:50:42,0.000
274,23/03/09 06:55:42,0.000
275,23/03/09 07:00:42,0.000
276,23/03/09 07:05:42,0.000
277,23/03/09 07:10:42,0.000
278,23/03/09 07:15:42,0.000
279,23/03/09 07:20:42,0.000
280,23/03/09 07:25:42,0.000
281,23/03/09 07:30:42,0.000
282,23/03/09 07:35:42,0.000
283,23/03/09 07:40:42,0.000
284,23/03/09 07:45:42,0.000
285,23/03/09 07:50:42,0.000
286,23/03/09 07:55:42,0.000
287,23/03/09 08:00:42,0.000
288,23/03/09 08:05:42,0.000
289,23/03/09 08:10:42,0.000
290,23/03/09 08:15:42,0.000
291,23/03/09 08:20:42,0.000
292,23/03/09 08:25:42,0.000
293,23/03/09 08:30:42,0.000
294,23/03/09 08:35:42,0.000
295,23/03/09 08:40:42,0.000
296,23/03/09 08:45:42,0.000
297,23/03/09 08:50:42,0.000
298,23/03/09 08:55:42,0.000
299,23/03/09 09:00:42,0.000
300,23/03/09 09:05:42,0.000
301,23/03/09 09:10:42,0.000
302,23/03/09 09:15:42,0.000
303,23/03/09 09:20:42,0.000
304,23/03/09 09:25:42,0.000
305,23/03/09 09:30:42,0.000
306,23/03/09 09:35:42,0.000
307,23/03/09 09:40:42,0.000
308,23/03/09 09:45:42,0.000
309,23/03/09 09:50:42,0.000
310,23/03/09 09:55:42,0.000
311,23/03/09 10:00:42,0.000
312,23/03/09 10:05:42,0.000
313,23/03/09 10:10:42,0.000
314,23/03/09 10:15:42,0.000
315,23/03/09 10:20:42,0.000
316,23/03/09 10:25:42,0.000
317,23/03/09 10:30:42,0.000
318,23/03/09 10:35:42,0.000
319,23/03/09 10:40:42,0.000
320,23/03/09 10:45:42,0.000
321,23/03/09 10:50:42,0.000
322,23/03/09 10:55:42,0.000
323,23/03/09 11:00:42,0.000
324,23/03/09 11:05:42,0.000
325,23/03/09 11:10:42,0.000
326,23/03/09 11:15:42,0.000
327,23/03/09 11:20:42,0.000
328,23/03/09 11:25:42,0.000
329,23/03/09 11:30:42,0.000
330,23/03/09 11:35:42,0.000
331,23/03/09 11:40:42,0.000
332,23/03/09 11:45:42,0.000
333,23/03/09 11:50:42,0.000
334,23/03/09 11:55:42,0.000
335,23/03/09 12:00:42,0.000
336,23/03/09 12:05:42,0.000
337,23/03/09 12:10:42,0.000
338,23/03/09 12:15:42,0.000
339,23/03/09 12:20:42,0.000
340,23/03/09 12:25:42,0.000
341,23/03/09 12:30:42,0.000
342,23/03/09 12:35:42,0.000
343,23/03/09 12:40:42,0.000
344,23/03/09 12:45:42,0.000
345,23/03/09 12:50:42,0.000
346,23/03/09 12:55:42,0.000
347,23/03/09 13:00:42,0.000
348,23/03/09 13:05:42,0.000
349,23/03/09 13:10:42,0.000
350,23/03/09 13:15:42,0.000
351,23/03/09 13:20:42,0.000
352,23/03/09 13:25:42,0.000
353,23/03/09 13:30:42,0.000
354,23/03/09 13:35:42,0.000
355,23/03/09 13:40:42,0.000
356,23/03/09 13:45:42,0.000
357,23/03/09 13:50:42,0.000
358,23/03/09 13:55:42,0.000
359,23/03/09 14:00:42,0.000
360,23/03/09 14:05:42,0.000
361,23/03/09 14:10:42,0.000
362,23/03/09 14:15:42,0.000
363,23/03/09 14:20:42,0.000
364,23/03/09 14:25:42,0.000
365,23/03/09 14:30:42,0.000
366,23/03/09 14:35:42,0.000
367,23/03/09 14:40:42,0.000
368,23/03/09 14:45:42,0.000
369,23/03/09 14:50:42,0.000
370,23/03/09 14:55:42,0.000
371,23/03/09 15:00:42,0.000
372,23/03/09 15:05:42,0.000
373,23/03/09 15:10:42,0.000
374,23/03/09 15:15:42,0.000
375,23/03/09 15:20:42,0.000
376,23/03/09 15:25:42,0.000
377,23/03/09 15:30:42,0.000
378,23/03/09 15:35:42,0.000
379,23/03/09 15:40:42,0.000
380,23/03/09 15:45:42,0.000
381,23/03/09 15:50:42,0.000
382,23/03/09 15:55:42,0.000
383,23/03/09 16:00:42,0.000
384,23/03/09 16:05:42,0.000
385,23/03/09 16:10:42,0.000
386,23/03/09 16:15:42,0.000
387,23/03/09 16:20:42,0.000
388,23/03/09 16:25:42,0.000
389,23/03/09 16:30:42,0.000
390,23/03/09 16:35:42,0.000
391,23/03/09 16:40:42,0.000
392,23/03/09 16:45:42,0.000
393,23/03/09 16:50:42,0.000
394,23/03/09 16:55:42,0.000
395,23/03/09 17:00:42,0.000
396,23/03/09 17:05:42,0.000
397,23/03/09 17:10:42,0.000
398,23/03/09 17:15:42,0.000
399,23/03/09 17:20:42,0.000
400,23/03/09 17:25:42,0.000
401,23/03/09 17:30:42,0.000
402,23/03/09 17:35:42,0.000
403,23/03/09 17:40:42,0.000
404,23/03/09 17:45:42,0.000
405,23/03/09 17:50:42,0.000
406,23/03/09 17:55:42,0.000
407,23/03/09 18:00:42,0.000
408,23/03/09 18:05:42,0.000
409,23/03/09 18:10:42,0.000
410,23/03/09 18:15:42,0.000
411,23/03/09 18:20:42,0.000
412,23/03/09 18:25:42,0.000
413,23/03/09 18:30:42,0.000
414,23/03/09 18:35:42,0.000
415,23/03/09 18:40:42,0.000
416,23/03/09 18:45:42,0.000
417,23/03/09 18:50:42,0.000
418,23/03/09 18:55:42,0.000
419,23/03/09 19:00:42,0.000
420,23/03/09 19:05:42,0.000
